"OBJECTID","station_european_code","station_local_code","country_iso_code","country_name","station_name","station_start_date","station_end_date","type_of_station","station_ozone_classification","station_type_of_area","station_subcat_rural_back","street_type","station_longitude_deg","station_latitude_deg","station_altitude","station_city","lau_level1_code","lau_level2_code","lau_level2_name","EMEP_station","arcgis_longitude","arcgis_latitude"
944,"CZ0TCTN","TCTN","CZ","Czech Republic","Cesky Tesin",736214400000,NA,"Background",NA,"urban",NA,"Wide street: L/H > 1.5",18.609726,49.748959,285,"CESKY TESIN","CZ0803",NA,"eský Tín","no",18.6096801758383,49.7490844725314
945,"CZ0TDCK","TDCK","CZ","Czech Republic","Dul CSA u Karvine",1325721600000,NA,"Background",NA,"rural",NA,NA,18.498817,49.842247,238,"KARVINA","3","598917","Karviná","no",18.4989013669153,49.8422851559986
946,"CZ0TFMI","TFMI","CZ","Czech Republic","Frydek-Mistek",696902400000,NA,"Background",NA,"suburban",NA,NA,18.351072,49.671791,290,"FRYDEK-MISTEK","CZ0802",NA,"Frýdek-Místek","no",18.3510742183833,49.6718749999245
947,"CZ0TFRB",NA,"CZ","Czech Republic",NA,NA,NA,"background",NA,"urban",NA,NA,18.211217,49.54304699,NA,NA,NA,NA,NA,NA,18.2113037110883,49.54309082025
948,"CZ0THAR","THAR","CZ","Czech Republic","Havirov",696902400000,NA,"Background",NA,"urban",NA,NA,18.406836,49.790977,260,"HAVIROV","CZ0803",NA,"Havíov","no",18.4069213863473,49.7910766599479
949,"CZ0THER","THER","CZ","Czech Republic","Hermanovice",1294358400000,NA,"Background",NA,"rural",NA,NA,17.402222,50.192778,622,"HERMANOVICE","1","597325","Hermanovice","no",17.4022827152301,50.1926879884789
950,"CZ0THLU","THLU","CZ","Czech Republic","Hlucin",1.230768e+12,"2009-12-31","Background",NA,"suburban",NA,NA,18.191767,49.906203,256,"OSTRAVA","CZ0805",NA,"Hluín","no",18.1918945313965,49.9063110354232
951,"CZ0TKAO","TKAO","CZ","Czech Republic","Karvina-ZU",1199145600000,NA,"Traffic",NA,"urban",NA,"Canyon street: L/H < 1.5",18.557777,49.858887,230,"KARVINA","CZ0803",NA,"Karviná","no",18.5579223636265,49.8588867188107
952,"CZ0TKAR","TKAR","CZ","Czech Republic","Karvina",696902400000,NA,"Background","urban","urban",NA,NA,18.551453,49.863796,238,"KARVINA","CZ0803",NA,"Karviná","no",18.5515136718967,49.8638916016736
953,"CZ0TKOP","TKOP","CZ","Czech Republic","Koprivnice",1.230768e+12,"2009-12-31","Background",NA,"urban",NA,NA,18.144428,49.600391,312,"FRYDEK-MISTEK","CZ0804",NA,"Kopivnice","no",18.1444702145731,49.6005249020633
954,"CZ0TKRN","TKRN","CZ","Czech Republic","Krnov",1262649600000,"2010-12-31","Background",NA,"suburban",NA,NA,17.689444,50.100556,358,"KRNOV","CZ0801",NA,"Krnov","no",17.6895141602551,50.1007080077892
955,"CZ0TNJK","TNJK","CZ","Czech Republic","Novy Jicin-Kojetin",1.29384e+12,"2011-12-31","Background",NA,"rural",NA,NA,17.982639,49.561333,470,"NOVÝ JICIN-KJETIN","4","599191","Nový Jicín","no",17.9827270510741,49.5612792966137
956,"CZ0TNUJ","TNUJ","CZ","Czech Republic","Navsi u Jablunkova",1104537600000,NA,"Background",NA,"rural","regional",NA,18.743963,49.594193,380,NA,"CZ0802",NA,"Návsí","no",18.7440795895743,49.5942993166404
957,"CZ0TOBA","TORE","CZ","Czech Republic","Ostrava-Radvanice ZU",1199145600000,NA,"Industrial",NA,"suburban",NA,"Canyon street: L/H < 1.5",18.33914,49.807056,243,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.3391113276935,49.8071289063765
958,"CZ0TOCB","TOCB","CZ","Czech Republic","Ostrava-Ceskobratrsk",1104537600000,NA,"Traffic",NA,"urban",NA,NA,18.289974,49.839848,215,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.2901000973949,49.8399047852813
959,"CZ0TOFF","TOFF","CZ","Czech Republic","Ostrava-Fifejdy",696902400000,NA,"Background","urban","urban",NA,NA,18.263389,49.839189,220,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.2634887692358,49.8392944335217
960,"CZ0TOMH","TOMH","CZ","Czech Republic","Ostrava-Marianske Ho",1199145600000,NA,"Industrial",NA,"urban",NA,NA,18.263655,49.82486,236,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.2636718746368,49.8248901367816
961,"CZ0TOPO","TOPO","CZ","Czech Republic","Ostrava-Poruba/CHMU",1041379200000,NA,"Background",NA,"suburban",NA,NA,18.159276,49.825295,242,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.1593017574434,49.8253173826101
962,"CZ0TOPR","TOPR","CZ","Czech Republic","Ostrava-Privoz",915062400000,NA,"Industrial",NA,"urban",NA,"Wide street: L/H > 1.5",18.269741,49.856258,207,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.2697143555645,49.8563232424422
963,"CZ0TOPU","TOPU","CZ","Czech Republic","Ostrava-Poruba IV.",1199145600000,"2012-12-31","Background",NA,"urban",NA,NA,18.179444,49.834444,233,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.1795043947711,49.8344726560241
964,"CZ0TORA","TORA","CZ","Czech Republic","Ostrava-Radvanice",725846400000,"2004-12-31","Background",NA,"suburban",NA,NA,18.337444,49.81839,256,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.3375244142183,49.8184814451586
965,"CZ0TORO",NA,"CZ","Czech Republic",NA,NA,NA,"background",NA,"suburban",NA,NA,18.34034,49.81854,NA,NA,NA,NA,NA,NA,18.3402709961315,49.8184814451586
966,"CZ0TORV","TORV","CZ","Czech Republic","Orlova",736214400000,NA,"Background",NA,"urban",NA,NA,18.433607,49.87566,266,"ORLOVA","CZ0803",NA,"Orlová","no",18.4337158199074,49.8756713869069
967,"CZ0TOVK","TOVK","CZ","Czech Republic","Opava-Katerinky",696902400000,NA,"Background",NA,"urban",NA,NA,17.909531,49.945992,255,"OPAVA","CZ0805",NA,"Opava","no",17.9094848637276,49.9461059570676
968,"CZ0TOZR","TOZR","CZ","Czech Republic","Ostrava-Zabreh",696902400000,NA,"Background",NA,"urban",NA,NA,18.247181,49.796043,235,"OSTRAVA","CZ0806",NA,"Ostrava","no",18.2473144534249,49.7960815429968
969,"CZ0TPEA","TPEA","CZ","Czech Republic","Petrovice u Karvine OU",1325721600000,NA,"Background",NA,"suburban",NA,NA,18.54022,49.89674,227,NA,"3","599077","Petrovice u Karviné","no",18.540283202811,49.8967285154603
970,"CZ0TSTD","TSTD","CZ","Czech Republic","Studenka",757382400000,NA,"Background","rural","rural","near city",NA,18.089306,49.720936,231,NA,"CZ0804",NA,"Studénka","no",18.0892944339778,49.7208862303438
971,"CZ0TTRK","TTRK","CZ","Czech Republic","Trinec-Kanada",757382400000,NA,"Background",NA,"urban",NA,NA,18.643036,49.672379,346,"TRINEC","CZ0802",NA,"Tinec","no",18.6431274416627,49.6724853515814
972,"CZ0TTRO","TTRO","CZ","Czech Republic","Trinec-Kosmos",696902400000,NA,"Background","urban","urban",NA,NA,18.677799,49.668114,320,"TRINEC","CZ0802",NA,"Tinec","no",18.6779174804277,49.6680908202111
973,"CZ0TVER","TVER","CZ","Czech Republic","Vernovice",696902400000,NA,"Background",NA,"rural","near city",NA,18.422871,49.924683,203,NA,"CZ0803",NA,"Dolní Lutyn","no",18.4229125976555,49.9246826172499
974,"CZ0TZBY","TZBY","CZ","Czech Republic","Zbyslavice",1.262736e+12,NA,"Background",NA,"rural","unknown",NA,18.075556,49.805553,398,"ZBYSLAVICE","CZ0806",NA,"Zbyslavice","no",18.0756835937807,49.8054809570907
975,"CZ0UCHM","UCHM","CZ","Czech Republic","Chomutov",696902400000,NA,"Background",NA,"urban",NA,NA,13.412697,50.467525,344,"CHOMUTOV","CZ0422",NA,"Chomutov","no",13.4127197264382,50.4675292969966
976,"CZ0UDCM","UDCM","CZ","Czech Republic","Decin",696902400000,NA,"Background",NA,"urban",NA,NA,14.218794,50.774147,131,"DECIN","CZ0421",NA,"Dín","no",14.2188720701159,50.7742919922188
977,"CZ0UDEH","UDEH","CZ","Czech Republic","Decin-ZU",1199145600000,"2011-05-10","Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",14.218611,50.780833,135,"DECIN","CZ0421",NA,"Dín","no",14.2186889647149,50.7808837892597
978,"CZ0UDOK","UDOK","CZ","Czech Republic","Doksany",1104537600000,NA,"Background",NA,"rural","near city",NA,14.170161,50.458851,158,NA,"CZ0423",NA,"Doksany","no",14.1702880857529,50.458923339719
979,"CZ0UKRU","UKRU","CZ","Czech Republic","Krupka",708307200000,NA,"Background",NA,"rural","near city",NA,13.847692,50.696671,533,NA,"CZ0426",NA,"Krupka","no",13.8477172848616,50.6967163085736
980,"CZ0ULOM","ULOM","CZ","Czech Republic","Lom",1100217600000,NA,"Background","rural","rural","near city",NA,13.673418,50.585767,265,NA,"CZ0425",NA,"Mariánské Radice","no",13.6735229496035,50.5858764651264
981,"CZ0ULTH","ULTH","CZ","Czech Republic","Litomerice-ZU",1199145600000,"2009-12-31","Background",NA,"urban",NA,NA,14.135555,50.534443,166,"LITOMERICE","CZ0423",NA,"Litomice","no",14.1356811523888,50.5344848635587
982,"CZ0ULTT","ULTT","CZ","Czech Republic","Litomerice",1049932800000,NA,"Background","urban","urban",NA,"Wide street: L/H > 1.5",14.119409,50.540897,190,"LITOMERICE","CZ0423",NA,"Litomice","no",14.1195068356796,50.5408935549119
983,"CZ0ULVS","ULVS","CZ","Czech Republic","Lovosice-MU",1199145600000,"2008-12-31","Traffic",NA,"urban",NA,"Canyon street: L/H < 1.5",14.052222,50.515278,152,"LOVOSICE","CZ0423",NA,"Lovosice","no",14.0523071292608,50.5153198243911
984,"CZ0UMED","UMED","CZ","Czech Republic","Medenec",699667200000,NA,"Background",NA,"rural","near city",NA,13.130142,50.427589,827,NA,"CZ0422",NA,"Mdnec","no",13.1301269533683,50.4276733396974
985,"CZ0UMOM","UMOM","CZ","Czech Republic","Most",696902400000,NA,"Background","urban","urban",NA,NA,13.645272,50.510365,221,"MOST","CZ0425",NA,"Most","no",13.6453247070708,50.5104980467193
986,"CZ0UMSO","UMSO","CZ","Czech Republic","Most-ZU",1199145600000,"2011-12-31","Industrial",NA,"urban",NA,"Wide street: L/H > 1.5",13.641667,50.5,305,"MOST","CZ0425",NA,"Most","no",13.641723632388,50.5001220704054
987,"CZ0URVH","URVH","CZ","Czech Republic","Rudolice v Horach",788918400000,NA,"Background","rural background","rural","regional",NA,13.419506,50.579834,840,NA,"CZ0425",NA,"Hora Svaté Kateiny","no",13.4194946289699,50.5798950196187
988,"CZ0USJT","USJT","CZ","Czech Republic","Strojetice",1104537600000,NA,"Background",NA,"rural","near city",NA,13.482708,50.16983,360,NA,"CZ0424",NA,"Kryry","no",13.4827270508022,50.1699218751325
989,"CZ0USMO","USMO","CZ","Czech Republic","Smolnice",1104537600000,"2010-11-30","Background",NA,"rural","near city",NA,13.856125,50.308828,345,NA,"CZ0424",NA,"Kryry","no",13.8560791017668,50.3088989260139
990,"CZ0USNZ","USNZ","CZ","Czech Republic","Sneznik",1085011200000,NA,"Background","rural","rural","regional",NA,14.087056,50.791706,590,NA,"CZ0421",NA,"Jílové","no",14.0870971680258,50.7916870119672
991,"CZ0UTEM","UTEM","CZ","Czech Republic","Teplice - old",696902400000,"2007-12-31","Background","urban","urban",NA,NA,13.824961,50.639275,225,"TEPLICE","CZ0426",NA,"Teplice","no",13.8250732421873,50.6392822264572
992,"CZ0UTEZ","UTEZ","CZ","Czech Republic","Teplice-ZU",1199145600000,"2009-12-31","Background",NA,"urban",NA,NA,13.833114,50.645485,230,"TEPLICE","CZ0426",NA,"Teplice","no",13.8331298825259,50.6455078127198
993,"CZ0UTPM","UTPM","CZ","Czech Republic","Teplice",1212969600000,NA,"Background",NA,"urban",NA,NA,13.851251,50.645279,257,"TEPLICE","CZ0426",NA,"Teplice","no",13.8513183595444,50.6453247072356
994,"CZ0UTUS","UTUS","CZ","Czech Republic","Tusimice",696902400000,NA,"Background","rural","rural","near city","Wide street: L/H > 1.5",13.327622,50.376587,322,NA,"CZ0422",NA,"Kada","no",13.3276977538029,50.3767089841741
995,"CZ0UUKB","UUKB","CZ","Czech Republic","Usti n.L.-Kras.Brezn",1199145600000,"2011-02-28","Background",NA,"urban",NA,NA,14.080556,50.6675,175,"USTI NAD LABEM","CZ0427",NA,"Ústí nad Labem","no",14.0806884762961,50.6674804685996
996,"CZ0UUKP","UUKP","CZ","Czech Republic","Usti n.L.-ZU- Pasteu",1199145600000,NA,"Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",14.026691,50.664783,172,"USTI NAD LABEM","CZ0427",NA,"Ústí nad Labem","no",14.0266723632403,50.6649169921682
997,"CZ0UULD","UULD","CZ","Czech Republic","Usti n.L.-Vseboricka",1091059200000,NA,"Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",13.997872,50.683125,230,"USTI NAD LABEM","CZ0427",NA,"Ústí nad Labem","no",13.9979248045047,50.6831054690119
998,"CZ0UULK","UULK","CZ","Czech Republic","Usti n.L.-Kockov",696902400000,NA,"Background","suburban","suburban",NA,NA,14.041195,50.683525,367,"USTI NAD LABEM","CZ0427",NA,"Ústí nad Labem","no",14.0413208007097,50.6834716795644
999,"CZ0UULM","UULM","CZ","Czech Republic","Usti n.L.-mesto",696902400000,NA,"Background","urban","urban",NA,NA,14.043064,50.661095,147,"USTI NAD LABEM","CZ0427",NA,"Ústí nad Labem","no",14.0430908204843,50.6610717773263
1000,"CZ0UVAL","UVAL","CZ","Czech Republic","Valdek",733622400000,NA,"Background","rural","rural","near city",NA,14.512989,50.975014,438,NA,"CZ0421",NA,"Staré Keany","no",14.5131225582072,50.9750976562302
1001,"CZ0UVSE","UVSE","CZ","Czech Republic","Vsechlapy",696902400000,"2004-11-04","Background",NA,"rural","near city",NA,13.782097,50.60857,216,NA,"CZ0426",NA,"Zabruany","no",13.782104491918,50.6087036130047
1002,"CZ0ZKRO","ZKRO","CZ","Czech Republic","Kromeriz-ZU",1199145600000,"2009-12-31","Traffic",NA,"urban",NA,"Wide street: L/H > 1.5",17.388332,49.294998,200,"KROMERIZ","CZ0721",NA,"Kromí","no",17.3883056642311,49.2951049805064
1003,"CZ0ZSNV","ZSNV","CZ","Czech Republic","Stitna n.Vlari",757382400000,NA,"Background","rural background","rural","regional",NA,18.007828,49.047818,600,NA,"CZ0724",NA,"títná nad Vláí-Popov","no",18.0078735351269,49.0479125979438
1004,"CZ0ZUHR","ZUHR","CZ","Czech Republic","Uherske Hradiste",1.070496e+12,NA,"Traffic",NA,"urban",NA,NA,17.46685,49.067947,191,"UHERSKE HRADISTE","CZ0722",NA,"Uherské Hradit","no",17.4669189451367,49.0678710935872
1005,"CZ0ZVMZ",NA,"CZ","Czech Republic",NA,NA,NA,"background",NA,"urban",NA,NA,17.96701,49.44261999,NA,NA,NA,NA,NA,NA,17.9671020505679,49.4426879881571
1006,"CZ0ZVSH","ZVSH","CZ","Czech Republic","Vsetin - hvezdarna",1041379200000,NA,"Background",NA,"suburban",NA,NA,17.996122,49.344448,385,"VSETIN","CZ0723",NA,"Vsetín","no",17.9960937498382,49.3444824217975
1007,"CZ0ZZLN","ZZLN","CZ","Czech Republic","Zlin",1.061424e+12,NA,"Background","suburban","suburban",NA,"Wide street: L/H > 1.5",17.667175,49.232903,258,"ZLIN","CZ0724",NA,"Zlín","no",17.6672973635165,49.2329101560228
1008,"CZPOLOM",NA,"CZ","Czech Republic",NA,NA,NA,"background",NA,"rural-nearcity",NA,NA,16.3225,50.35028,NA,NA,NA,NA,NA,NA,16.3225097658261,50.3502807619624
1009,"DEBB001","DEBB001","DE","Germany","Burg (Spreewald)",725846400000,"2003-05-19","Background","suburban","suburban","unknown",NA,14.141703,51.837585,54,NA,"120715101",NA,"Burg (Spreewald)","no",14.1417236324182,51.8377075195076
1010,"DEBB002","DEBB002","DE","Germany","Brandenburg-Nord",665366400000,"1994-06-30","Background",NA,"suburban","unknown",NA,12.560379,52.42096,31,NA,NA,"12051000","Brandenburg an der Havel, Stadt","no",12.5604858397761,52.421081543091
1011,"DEBB003","DEBB003","DE","Germany","Brandenburg a.d. Havel",667785600000,"2001-06-07","Traffic","urban","urban","unknown","Wide street: L/H > 1.5",12.544442,52.412113,33,"BRANDENBURG",NA,"12051000","Brandenburg an der Havel, Stadt","no",12.5444946284679,52.4121093748811
1012,"DEBB004","DEBB004","DE","Germany","Cottbus-LUA",6.62688e+11,"2003-12-31","Background",NA,"suburban","unknown",NA,14.327692,51.778046,68,NA,NA,"12052000","Cottbus, Stadt","no",14.3276977538634,51.778076171952
1013,"DEBB005","DEBB005","DE","Germany","Cottbus-City (-Mitte)",6.62688e+11,"1997-03-31","Background",NA,"urban","unknown",NA,14.331686,51.7579,74,NA,NA,"12052000","Cottbus, Stadt","no",14.3317260744819,51.7578735349066
1014,"DEBB006","DEBB006","DE","Germany","Cottbus-Süd",7.20576e+11,"2002-12-09","Background","urban","urban","unknown",NA,14.322827,51.740765,76,NA,NA,"12052000","Cottbus, Stadt","no",14.3228759765073,51.7409057617838
1015,"DEBB007","DEBB007","DE","Germany","Elsterwerda",715305600000,NA,"Background","suburban","suburban","unknown",NA,13.526797,51.462734,89,NA,NA,"12062124","Elsterwerda, Stadt","no",13.5269165037448,51.4627075194177
1016,"DEBB008","DEBB008","DE","Germany","Finsterwalde",809913600000,"2000-10-10","Traffic","urban","urban","unknown",NA,13.710116,51.636486,110,NA,NA,"12062140","Finsterwalde, Stadt","no",13.7100830081431,51.6364746092221
1017,"DEBB009","DEBB009","DE","Germany","Forst",6.94224e+11,"2002-12-31","Background","suburban","suburban","unknown",NA,14.640592,51.744026,75,NA,NA,"12071076","Forst (Lausitz), Stadt","no",14.6406860351761,51.7440795900828
1018,"DEBB010","DEBB010","DE","Germany","Guben",717897600000,"2000-04-10","Background",NA,"suburban","unknown","Wide street: L/H > 1.5",14.712247,51.948544,46,"GUBEN",NA,"12071160","Guben, Stadt","no",14.7122802730154,51.9484863279711
1019,"DEBB011","DEBB011","DE","Germany","Hennigsdorf",665366400000,"1995-05-04","Background",NA,"suburban","unknown",NA,13.203808,52.636421,32,"HENNIGSDORF",NA,"12065136","Hennigsdorf, Stadt","no",13.2039184569178,52.6364746095949
1020,"DEBB012","DEBB012","DE","Germany","Herzberg",715305600000,"2001-12-31","Traffic","suburban","suburban","unknown",NA,13.228908,51.692936,80,NA,NA,"12062224","Herzberg (Elster), Stadt","no",13.2288818355696,51.6928710937497
1021,"DEBB013","DEBB013","DE","Germany","Kleinmachnow",7.23168e+11,"1997-04-16","Background",NA,"suburban","unknown",NA,13.231408,52.408764,43,NA,NA,"12069304","Kleinmachnow","no",13.2315063472155,52.4088745119582
1022,"DEBB014","DEBB014","DE","Germany","Lübbenau",6.62688e+11,"1997-03-31","Background",NA,"suburban","unknown","Wide street: L/H > 1.5",13.937359,51.857101,53,"LÜBBENAU",NA,NA,NA,"no",13.9374999997193,51.8571166989541
1023,"DEBB015","DEBB015","DE","Germany","Luckau, 1991-1993",6.94224e+11,"1993-12-31","Background",NA,"suburban","unknown",NA,13.70603,51.853294,64,NA,NA,NA,NA,"no",13.7061157226583,51.8532714843732
1024,"DEBB016","DEBB016","DE","Germany","Ludwigsfelde",725846400000,"1998-05-14","Background",NA,"suburban","unknown",NA,13.256123,52.296162,41,NA,NA,"12072240","Ludwigsfelde, Stadt","no",13.2561035159637,52.2960815429942
1025,"DEBB017","DEBB017","DE","Germany","Merzdorf",7.23168e+11,"1999-01-19","Background",NA,"suburban","unknown",NA,14.385859,51.773872,68,NA,NA,NA,NA,"no",14.3859252929386,51.7739257810549
1026,"DEBB018","DEBB018","DE","Germany","Oranienburg",809913600000,"2001-03-15","Traffic","urban","urban","unknown",NA,13.246239,52.756744,35,NA,NA,"12065256","Oranienburg, Stadt","no",13.2462768558505,52.7567138673094
1027,"DEBB019","DEBB019","DE","Germany","Peitz",7.23168e+11,"1995-05-31","Background",NA,"suburban","unknown",NA,14.411647,51.859406,59,NA,"120715107",NA,"Peitz, Stadt","no",14.4116821292264,51.8594970701803
1028,"DEBB020","DEBB020","DE","Germany","Potsdam-Hermannswerder, 93-2000",746841600000,"2000-06-29","Background","suburban","suburban","unknown","Wide street: L/H > 1.5",13.039659,52.386749,32,"POTSDAM",NA,"12054000","Potsdam, Stadt","no",13.039672851142,52.3867187498547
1029,"DEBB021","DEBB021","DE","Germany","Potsdam-Zentrum",665366400000,NA,"Background","urban","urban","unknown","Wide street: L/H > 1.5",13.059945,52.401352,31,"POTSDAM",NA,"12054000","Potsdam, Stadt","no",13.0598754884697,52.4014892578143
1030,"DEBB022","DEBB022","DE","Germany","Schwarzheide",6.62688e+11,"1997-03-31","Background",NA,"suburban","unknown",NA,13.860448,51.474194,97,NA,NA,"12066296","Schwarzheide, Stadt","no",13.8604736331872,51.4743041993292
1031,"DEBB023","DEBB023","DE","Germany","Senftenberg, 1991-1994",6.62688e+11,"1994-03-31","Background",NA,"urban","unknown","Wide street: L/H > 1.5",13.996269,51.521549,103,"SENFTENBERG",NA,"12066304","Senftenberg, Stadt","no",13.9962768558958,51.5214843749802
1032,"DEBB024","DEBB024","DE","Germany","Senftenberg",725846400000,"2007-01-31","Background","urban","urban","unknown",NA,13.999486,51.520836,103,NA,NA,"12066304","Senftenberg, Stadt","no",13.9995117188783,51.5208740234937
1033,"DEBB026","DEBB026","DE","Germany","Spremberg-Süd",6.70464e+11,"2010-01-04","Industrial","suburban","suburban","unknown","Wide street: L/H > 1.5",14.375658,51.559032,104,"SPREMBERG",NA,"12071372","Spremberg, Stadt","no",14.3756713868898,51.559082031138
1034,"DEBB027","DEBB027","DE","Germany","Vetschau",678326400000,"1997-03-31","Background",NA,"suburban","unknown",NA,14.085355,51.783314,61,NA,NA,NA,NA,"no",14.0853271482512,51.7833251950867
1035,"DEBB028","DEBB028","DE","Germany","Wittenberge,1993-2002",728524800000,"2002-11-26","Background","suburban","suburban","unknown","Wide street: L/H > 1.5",11.759531,52.99445,22,"WITTENBERGE",NA,"12070424","Wittenberge, Stadt","no",11.7595214842565,52.9945068356954
1036,"DEBB029","DEBB029","DE","Germany","Schwedt (Oder)",734054400000,NA,"Industrial","suburban","suburban","unknown","Wide street: L/H > 1.5",14.285139,53.064262,5,"SCHWEDT/ODER",NA,"12073532","Schwedt/Oder, Stadt","no",14.2852783206954,53.0642700192769
1037,"DEBB030","DEBB030","DE","Germany","Premnitz",735177600000,"2007-01-12","Industrial","suburban","suburban","unknown","Wide street: L/H > 1.5",12.341811,52.531567,30,"PREMNITZ",NA,NA,NA,"no",12.3419189452762,52.5316772459325
1038,"DEBB031","DEBB031","DE","Germany","Königs Wusterhausen,1993-2008",736732800000,"2008-03-17","Background","suburban","suburban","unknown","Wide street: L/H > 1.5",13.627789,52.292252,36,"KÖNIGS-WUSTERHAUSEN",NA,"12061260","Königs Wusterhausen, Stadt","no",13.6279296876883,52.2922973633394
1039,"DEBB032","DEBB032","DE","Germany","Eisenhüttenstadt",7.35264e+11,NA,"Industrial","suburban","suburban","unknown","Wide street: L/H > 1.5",14.638166,52.146267,40,"EISENHÜTTENSTADT",NA,"12067120","Eisenhüttenstadt, Stadt","no",14.6383056640649,52.1463012697896
1040,"DEBB034","DEBB034","DE","Germany","Eberswalde",749433600000,"1999-10-07","Traffic","suburban","suburban","unknown",NA,13.800703,52.835064,29,NA,NA,NA,NA,"no",13.8007202148721,52.8350830080454
1041,"DEBB035","DEBB035","DE","Germany","Frankfurt (Oder), 1994-1997",764899200000,"1997-04-15","Background","urban","urban","unknown",NA,14.544556,52.345665,52,"FRANKFURT (ODER)",NA,"12053000","Frankfurt (Oder), Stadt","no",14.5446777339897,52.3457031249563
1042,"DEBB036","DEBB036","DE","Germany","Luckenwalde",739843200000,"2003-01-17","Background","suburban","suburban","unknown",NA,13.171803,52.08918,48,NA,NA,"12072232","Luckenwalde, Stadt","no",13.171875000066,52.0892944333493
1043,"DEBB037","DEBB037","DE","Germany","Rüdersdorf",750643200000,"1999-07-13","Background",NA,"suburban","unknown",NA,13.792273,52.468098,48,NA,NA,NA,NA,"no",13.7922973628332,52.4680786135146
1044,"DEBB038","DEBB038","DE","Germany","Prenzlau",746841600000,"2003-01-22","Background","suburban","suburban","unknown",NA,13.870311,53.315823,33,NA,NA,"12073452","Prenzlau, Stadt","no",13.8703002933005,53.3159179689748
1045,"DEBB039","DEBB039","DE","Germany","Bernau, Altersheim",852076800000,"1998-07-30","Background","suburban","suburban","unknown",NA,13.582088,52.6805,74,"BERNAU",NA,"12060020","Bernau bei Berlin, Stadt","no",13.5820922852385,52.6804809572167
1046,"DEBB040","DEBB040","DE","Germany","Nauen, 1997-2002",857174400000,"2002-04-15","Background","suburban","suburban","unknown",NA,12.876509,52.609566,32,"NAUEN",NA,"12063208","Nauen, Stadt","no",12.8765258786704,52.6096801758127
1047,"DEBB041","DEBB041","DE","Germany","Fürstenwalde",760060800000,"1999-08-18","Background",NA,"suburban","unknown",NA,14.069902,52.370876,40,"FÜRSTENWALDE",NA,"12067144","Fürstenwalde/Spree, Stadt","no",14.0698852540443,52.3709106446463
1048,"DEBB042","DEBB042","DE","Germany","Frankfurt (Oder)",861580800000,NA,"Background","suburban","suburban","unknown",NA,14.531917,52.339951,58,NA,NA,"12053000","Frankfurt (Oder), Stadt","no",14.5319213865623,52.3400878905907
1049,"DEBB043","DEBB043","DE","Germany","Luckau",881539200000,"2007-01-16","Background","suburban","suburban","unknown",NA,13.706503,51.855583,62,"LUCKAU",NA,NA,NA,"no",13.7064819334603,51.8557128905013
1050,"DEBB044","DEBB044","DE","Germany","Cottbus, Bahnhofstr.",795657600000,NA,"Traffic",NA,"urban","unknown",NA,14.327997,51.756475,70,"COTTBUS",NA,NA,NA,"no",14.328124999799,51.7565307617423
1051,"DEBB045","DEBB045","DE","Germany","Frankfurt (Oder), Leipziger Str.",807235200000,NA,"Traffic",NA,"urban","unknown",NA,14.538595,52.337334,56,"FRANKFURT",NA,"12053000","Frankfurt (Oder), Stadt","no",14.538696289094,52.3372802735593
1052,"DEBB046","DEBB046","DE","Germany","Potsdam, Hans-Thoma-Str.",7.8624e+11,"1999-10-01","Traffic",NA,"urban","unknown",NA,13.067242,52.403614,32,"POTSDAM",NA,NA,NA,"no",13.0673217774717,52.4036865231875
1053,"DEBB047","DEBB047","DE","Germany","Potsdam, Zeppelinstr.-Süd",8.43696e+11,"1999-06-14","Traffic",NA,"urban","unknown",NA,13.033836,52.393764,31,"POTSDAM",NA,NA,NA,"no",13.0338745116472,52.393676757938
1054,"DEBB048","DEBB048","DE","Germany","Neuruppin",897523200000,NA,"Background","suburban","suburban","unknown",NA,12.809481,52.931889,43,"NEURUPPIN",NA,"12068320","Neuruppin, Stadt","no",12.8095092776526,52.9318847655724
1055,"DEBB049","DEBB049","DE","Germany","Brandenburg, Neuendorfer Str.",893980800000,"2013-01-27","Traffic",NA,"urban","unknown",NA,12.548375,52.409309,33,"BRANDENBURG",NA,"12051000","Brandenburg an der Havel, Stadt","no",12.5485229490864,52.4093017577066
1056,"DEBB050","DEBB050","DE","Germany","Bernau",920246400000,"2010-01-19","Background","suburban","suburban","unknown",NA,13.583772,52.684196,74,"BERNAU",NA,"12060020","Bernau bei Berlin, Stadt","no",13.5839233401468,52.6843261716366
1057,"DEBB051","DEBB051","DE","Germany","Waldsieversdorf",941414400000,"2003-01-29","Background","rural","rural","regional",NA,14.057456,52.541363,47,"WALDSIEVERSDORF","120645408",NA,"Waldsieversdorf","no",14.0574951174189,52.5415039064072
